ST,STATE,SOCIO,HOUSEHOLD,RACE,HOUSING,POP_PER_SQ_MILE
1,Alabama,2.6268171105696783,2.4998043779451673,0.4684725418163135,2.106079936977667,96.61333531690626
2,Alaska,2.521418458052348,2.3136169622382936,0.5522202207628326,2.8179569406640526,1.2906505258429346
4,Arizona,2.608743784178675,2.5559432238128905,0.5890940164180303,2.236287549428051,63.122317981034165
5,Arkansas,2.585823962265341,2.6451335712362374,0.40281216060570946,2.375036996214648,57.92862910025135
6,California,2.67704274431243,2.552639498322359,0.7350708247514622,2.4755959409188573,252.4474735974804
8,Colorado,2.1790954417700426,2.227579231444701,0.4690284132810172,1.9520898236846003,54.854204337993394
9,Connecticut,2.165957741624607,2.406244257367705,0.46002598894455726,2.0732191247060325,737.3555197839835
10,Delaware,2.2852014896468766,2.51150634859287,0.529706053040316,2.081407553227878,496.6141164739559
11,District of Columbia,2.1845329570610876,1.9927542624085794,0.7309428270847638,2.878428947368421,11484.017005878995
12,Florida,2.804762697886838,2.595815246588054,0.5842448012633689,2.2011837204912457,395.4548496247528
13,Georgia,2.7260521883684796,2.429425940422261,0.598966250118028,1.9825359332155446,182.20959120484028
15,Hawaii,1.8899834490315293,2.4710266631879745,0.8423995542485815,2.327926553686639,221.11000037181734
16,Idaho,2.3636228919604623,2.420843475224967,0.310319902221143,2.1346487949784736,21.227718574897256
17,Illinois,2.3298777477232915,2.3955975151547273,0.5014431943862945,2.1198609688267624,229.065792272601
18,Indiana,2.2808329701997625,2.434324356085725,0.3130107293486696,2.061850346347179,186.92819946542818
19,Iowa,1.8476559566299928,2.385535711780054,0.24174969541376207,2.3104800957837925,56.39784277474793
20,Kansas,2.1536230786106936,2.478513316434453,0.36997577953038147,2.146048198992041,35.624637979421045
21,Kentucky,2.4067126244746695,2.5044840866284535,0.24633946053207204,2.209532856337316,112.98485979184991
22,Louisiana,2.7726582439369074,2.533224877524752,0.5386485002624011,2.248255517581726,107.95170928622518
23,Maine,2.170033216266105,2.256833660470233,0.12440098484142226,2.3774888503719724,43.46965234775379
24,Maryland,2.072631308872497,2.37476605558743,0.6049266815224003,1.9938853560771588,621.7177799181402
25,Massachusetts,1.9118319655905869,2.3683477501173797,0.41217811243498653,2.243029064980766,881.046014472624
26,Michigan,2.2207812096703927,2.3772313952395985,0.3545716598119473,2.137454225280023,176.19193721546998
27,Minnesota,1.756798236212998,2.291012956990918,0.31948276624300065,2.3407209972704384,70.33029903114482
28,Mississippi,2.9978844449474904,2.5644192133702903,0.56004680678173,2.2392363105604436,63.546139042132985
29,Missouri,2.340004051510738,2.3899659601806613,0.3077299096529157,2.1497643516661875,89.08328962815844
30,Montana,2.201316724419683,2.184320662048309,0.2288687197479526,2.4538871771348916,7.294420396537529
31,Nebraska,2.019358662217893,2.4657065455503773,0.3282011900244617,2.207411174347368,25.044000249559257
32,Nevada,2.8626581825579875,2.633851195054188,0.6517505652446093,2.0535174539588903,27.583012736703314
33,New Hampshire,1.8897106359445237,2.0819762335786027,0.17629855081446588,2.1491302680550515,151.36050177453495
34,New Jersey,2.293090689216872,2.413290480988064,0.570800782067878,2.1096050174454373,1208.118713265451
35,New Mexico,2.794147708773541,2.8181318139875566,0.7442811481620832,2.30681530161119,17.286080722851377
36,New York,2.4389360775991658,2.446320138951626,0.5437343803992539,2.5652145799847084,414.12081983334997
37,North Carolina,2.6430768235953246,2.484961999559609,0.5047937611223017,2.261623732901274,213.60731488004288
38,North Dakota,1.825144279544552,2.096909248494859,0.26056450629542055,2.559418753830251,11.020868682816618
39,Ohio,2.1972600486155573,2.3941457319163786,0.3089610927793992,2.014556987385736,285.7472931106021
40,Oklahoma,2.718001070406159,2.6876244576185093,0.5138246789465182,2.2621362895895065,57.573521130176395
41,Oregon,2.4610217515502786,2.4803139366565894,0.39695890635019226,2.640782069541173,43.50544731616176
42,Pennsylvania,2.1581128857430136,2.407385434382568,0.33397040548625484,2.1697379210051517,285.9687655196284
44,Rhode Island,2.2969468692510286,2.4601716869383377,0.3894616614892446,2.232599056057962,1023.1261080816248
45,South Carolina,2.6297569951352413,2.487195047350328,0.505457445433257,2.219323108456674,169.3544224369043
46,South Dakota,2.080090088998972,2.329226404241382,0.28058200403486266,2.5234903502188017,11.599272761600337
47,Tennessee,2.590175871126187,2.4767430938940986,0.3659613420348988,2.102408942188939,164.24600067335237
48,Texas,2.8405600908901634,2.6433956549544444,0.6932762538220992,2.1440995958504847,109.60190965031425
49,Utah,1.9953560821632381,2.250357156883372,0.3513200130488357,1.895745616279819,38.25395536658673
50,Vermont,2.0123229067495276,2.168822825383605,0.13132785789794024,2.3985955019700804,67.73460931669109
51,Virginia,2.1835630484109374,2.3086466995512467,0.5222629123489693,1.922787262153032,215.5245181961073
53,Washington,2.1488863547717028,2.4144492579200034,0.4743053773694786,2.448278573850261,113.0457449119029
54,West Virginia,2.519326893327859,2.4143813361653534,0.14303790589490248,2.338365779290549,75.18053932440944
55,Wisconsin,1.9169191081759434,2.2973579006625653,0.2847161323408487,2.2716096603136746,107.20480096570665
56,Wyoming,2.2038793342369805,2.2622935948863674,0.2793594999896792,2.401885237069707,5.9878021827216275
