AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
48140,"Wausau, WI",4,WI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,8.6,0.712,0.66,,,50.03,104060,1.2,38.29,43.91,47.58,61.29,62.81,79630,91320,98960,127490,130640,,
48900,"Wilmington, NC",4,NC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,100,11,0.766,0.71,,,53.89,112100,2,30.68,41.51,57.29,60.96,70.23,63820,86340,119160,126800,146070,,
49180,"Winston-Salem, NC",4,NC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,210,5.6,0.796,0.74,,,51.89,107930,1.4,30.06,40.31,49.81,62.49,70.48,62520,83830,103600,129980,146590,,
49620,"York-Hanover, PA",4,PA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,7.8,0.475,0.44,,,38.63,80340,3.1,22.41,29.66,37.1,47.61,59.14,46600,61690,77170,99020,123010,,
49660,"Youngstown-Warren-Boardman, OH-PA",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,18.6,0.166,0.15,,,38.93,80960,7.3,23.34,28.19,40.99,46.25,55.72,48540,58640,85270,96200,115890,,
70750,"Bangor, ME",4,ME,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,10.4,0.608,0.56,,,43.62,90720,10,30.66,32.92,40,51.62,63.77,63770,68470,83210,107370,132630,,
71650,"Boston-Cambridge-Nashua, MA-NH",4,MA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,**,**,**,**,,,58.28,121230,4.6,35.41,39.96,51.28,66.83,84.95,73650,83120,106670,139000,176700,,
71950,"Bridgeport-Stamford-Norwalk, CT",4,CT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,270,8.8,0.679,0.63,,,55.41,115240,3,32.66,40.12,50.82,65.16,79.9,67930,83450,105700,135530,166190,,
72400,"Burlington-South Burlington, VT",4,VT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,80,48.8,0.692,0.64,,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
73050,"Dover-Durham, NH-ME",4,NH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,19.5,1.002,0.93,,,39.66,82490,9.7,19.47,24.88,34.68,48.29,65.62,40490,51750,72130,100450,136480,,
73450,"Hartford-West Hartford-East Hartford, CT",4,CT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,430,3.7,0.776,0.72,,,51.8,107740,0.9,19.17,30.77,51.59,62.76,80.66,39880,64010,107310,130530,167760,,
74650,"Lewiston-Auburn, ME",4,ME,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,25.8,0.744,0.69,,,38.74,80570,4.5,28.95,30.9,35.72,44.82,57.06,60220,64270,74300,93230,118690,,
74950,"Manchester, NH",4,NH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,120,12.4,1.111,1.03,,,46.49,96700,5,25.03,29.57,49.52,60.31,75.86,52050,61500,103000,125450,157790,,
75700,"New Haven, CT",4,CT,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,150,14.8,0.538,0.5,,,50.56,105150,6.5,31.03,33.47,47.88,62.93,91.61,64550,69620,99590,130900,190550,,
76750,"Portland-South Portland, ME",4,ME,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,410,8.3,2.011,1.86,,,48.79,101470,3.8,31.44,37.82,44.5,63.74,66.8,65390,78670,92560,132580,138940,,
76900,"Portsmouth, NH-ME",4,NH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,100,19.8,1.103,1.02,,,41.17,85620,6.3,24.34,29.62,38.84,50.63,66.49,50630,61610,80790,105310,138300,,
77200,"Providence-Warwick, RI-MA",4,RI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,610,8,1.094,1.01,,,55.95,116370,2,37.84,41.56,52.52,64.16,80.91,78700,86440,109240,133460,168290,,
78100,"Springfield, MA-CT",4,MA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,**,**,**,**,,,43.92,91360,5.2,24.15,32.36,42.18,52.33,63.5,50230,67300,87730,108840,132070,,
79600,"Worcester, MA-CT",4,MA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,**,**,**,**,,,47.63,99080,2,29.52,36.11,44.58,56.66,66.87,61400,75100,92730,117850,139090,,
