NAME,B01001_001E,state,county,tract,block group
Block Group 1; Census Tract 9605.01; Bartow County; Georgia,1174,13,015,960501,1
Block Group 2; Census Tract 9605.01; Bartow County; Georgia,1761,13,015,960501,2
Block Group 3; Census Tract 9605.01; Bartow County; Georgia,2719,13,015,960501,3
Block Group 4; Census Tract 9605.01; Bartow County; Georgia,959,13,015,960501,4
Block Group 1; Census Tract 9605.02; Bartow County; Georgia,1591,13,015,960502,1
Block Group 2; Census Tract 9605.02; Bartow County; Georgia,1521,13,015,960502,2
Block Group 1; Census Tract 9606.01; Bartow County; Georgia,1535,13,015,960601,1
Block Group 2; Census Tract 9606.01; Bartow County; Georgia,2647,13,015,960601,2
Block Group 3; Census Tract 9606.01; Bartow County; Georgia,1603,13,015,960601,3
Block Group 1; Census Tract 9606.02; Bartow County; Georgia,2411,13,015,960602,1
Block Group 2; Census Tract 9606.02; Bartow County; Georgia,615,13,015,960602,2
Block Group 3; Census Tract 9606.02; Bartow County; Georgia,365,13,015,960602,3
Block Group 4; Census Tract 9606.02; Bartow County; Georgia,269,13,015,960602,4
Block Group 1; Census Tract 9607.01; Bartow County; Georgia,1937,13,015,960701,1
Block Group 2; Census Tract 9607.01; Bartow County; Georgia,866,13,015,960701,2
Block Group 3; Census Tract 9607.01; Bartow County; Georgia,473,13,015,960701,3
Block Group 4; Census Tract 9607.01; Bartow County; Georgia,738,13,015,960701,4
Block Group 1; Census Tract 9607.02; Bartow County; Georgia,1569,13,015,960702,1
Block Group 2; Census Tract 9607.02; Bartow County; Georgia,1860,13,015,960702,2
Block Group 1; Census Tract 9608.01; Bartow County; Georgia,683,13,015,960801,1
Block Group 2; Census Tract 9608.01; Bartow County; Georgia,1460,13,015,960801,2
Block Group 3; Census Tract 9608.01; Bartow County; Georgia,2585,13,015,960801,3
Block Group 1; Census Tract 9608.02; Bartow County; Georgia,2143,13,015,960802,1
Block Group 2; Census Tract 9608.02; Bartow County; Georgia,1248,13,015,960802,2
Block Group 1; Census Tract 9608.04; Bartow County; Georgia,1512,13,015,960804,1
Block Group 2; Census Tract 9608.04; Bartow County; Georgia,739,13,015,960804,2
Block Group 3; Census Tract 9608.04; Bartow County; Georgia,234,13,015,960804,3
Block Group 4; Census Tract 9608.04; Bartow County; Georgia,1492,13,015,960804,4
Block Group 1; Census Tract 9608.05; Bartow County; Georgia,1230,13,015,960805,1
Block Group 2; Census Tract 9608.05; Bartow County; Georgia,579,13,015,960805,2
Block Group 1; Census Tract 9609.01; Bartow County; Georgia,1644,13,015,960901,1
Block Group 2; Census Tract 9609.01; Bartow County; Georgia,1100,13,015,960901,2
Block Group 1; Census Tract 9609.02; Bartow County; Georgia,2279,13,015,960902,1
Block Group 2; Census Tract 9609.02; Bartow County; Georgia,1076,13,015,960902,2
Block Group 3; Census Tract 9609.02; Bartow County; Georgia,1168,13,015,960902,3
Block Group 4; Census Tract 9609.02; Bartow County; Georgia,3154,13,015,960902,4
